Epoch 2.20 / 50, i = 427 / 17800, loss = 1.912621
Epoch 2.20 / 50, i = 428 / 17800, loss = 1.888535
Epoch 2.21 / 50, i = 429 / 17800, loss = 1.860475
Epoch 2.21 / 50, i = 430 / 17800, loss = 1.827362
Epoch 2.21 / 50, i = 431 / 17800, loss = 1.898702
Epoch 2.21 / 50, i = 432 / 17800, loss = 1.839886
Epoch 2.22 / 50, i = 433 / 17800, loss = 1.837782
Epoch 2.22 / 50, i = 434 / 17800, loss = 1.799323
Epoch 2.22 / 50, i = 435 / 17800, loss = 1.842478
Epoch 2.22 / 50, i = 436 / 17800, loss = 1.846813
Epoch 2.23 / 50, i = 437 / 17800, loss = 1.874823
